4/1/2011 9:38,,,,,,
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.77,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.78,79,79,79,0
1,1,-0.79,79,79,79,0
1,1,-0.8,79,79,79,0
1,1,-0.81,79,79,79,0
1,1,-0.83,79,79,79,0
1,1,-0.84,79,79,79,0
1,1,-0.85,79,79,79,0
1,1,-0.88,79,79,79,0
1,1,-0.9,79,79,79,0
1,1,-0.91,79,79,79,0
1,1,-0.93,79,79,79,0
1,1,-0.94,79,79,79,0
1,1,-0.94,79,79,79,0
1,1,-0.96,79,79,79,0
1,1,-0.97,79,79,79,0
1,1,-1,79,79,79,0
1,1,-1.01,79,79,79,0
1,1,-1.02,79,79,79,0
1,1,-1.03,79,79,79,0
1,1,-1.05,79,79,79,0
1,1,-1.06,79,79,79,0
1,1,-1.08,79,79,79,0
1,1,-1.09,79,79,79,0
1,1,-1.11,79,79,79,0
1,1,-1.12,79,79,79,0
1,1,-1.13,79,79,79,0
1,1,-1.14,79,79,79,0
1,1,-1.15,79,79,79,0
1,1,-1.16,79,79,79,0
1,1,-1.17,79,79,79,0
1,1,-1.18,79,79,79,0
1,1,-1.2,79,79,79,0
1,1,-1.2,79,79,79,0
1,1,-1.19,79,79,79,0
1,1,-1.2,79,79,79,0
1,1,-1.19,79,79,79,0
1,1,-1.19,79,79,79,0
1,1,-1.19,79,79,79,0
1,1,-1.2,79,79,79,0
1,1,-1.21,79,79,79,0
1,1,-1.21,79,79,79,0
1,1,-1.22,79,79,79,0
1,1,-1.24,79,79,79,0
1,1,-1.25,79,79,79,0
1,1,-1.26,79,79,79,0
1,1,-1.27,79,79,79,0
1,1,-1.28,79,79,79,0
1,1,-1.28,79,79,79,0
1,1,-1.29,79,79,79,0
1,1,-1.29,79,79,79,0
1,1,-1.29,79,79,79,0
1,1,-1.29,79,79,79,0
1,1,-1.29,79,79,79,0
1,1,-1.29,79,79,79,0
1,1,-1.29,79,79,79,0
1,1,-1.28,79,79,79,0
1,1,-1.28,79,79,79,0
1,1,-1.28,79,79,79,0
1,1,-1.28,79,79,79,0
1,1,-1.28,79,79,79,0
1,1,-1.28,79,79,79,0
1,1,-1.28,79,79,79,0
1,1,-1.28,79,79,79,0
1,1,-1.29,79,79,79,0
1,1,-1.29,79,79,79,0
1,1,-1.29,79,79,79,0
1,1,-1.29,79,79,79,0
1,1,-1.29,79,79,79,0
1,1,-1.3,79,79,79,0
1,1,-1.3,79,79,79,0
1,1,-1.3,79,79,79,0
1,1,-1.31,79,79,79,0
1,1,-1.3,79,79,79,0
1,1,-1.3,79,79,79,0
1,1,-1.3,79,79,79,0
1,1,-1.3,79,79,79,0
1,1,-1.31,79,79,79,0
1,1,-1.31,79,79,79,0
1,1,-1.32,79,79,79,0
1,1,-1.32,79,79,79,0
1,1,-1.32,79,79,79,0
1,1,-1.33,79,79,79,0
1,1,-1.32,79,79,79,0
1,1,-1.32,79,79,79,0
1,1,-1.32,79,79,79,0
1,1,-1.31,79,79,79,0
1,1,-1.31,79,79,79,0
1,1,-1.31,79,79,79,0
1,1,-1.31,79,79,79,0
1,1,-1.31,79,79,79,0
1,1,-1.31,79,79,79,0
1,1,-1.3,79,79,79,0
1,1,-1.3,79,79,79,0
1,1,-1.3,79,79,79,0
1,1,-1.31,79,79,79,0
1,1,-1.31,79,79,79,0
1,1,-1.32,79,79,79,0
1,1,-1.32,79,79,79,0
1,1,-1.32,79,79,79,0
1,1,-1.33,79,79,79,0
1,1,-1.33,79,79,79,0
1,1,-1.33,79,79,79,0
1,1,-1.33,79,79,79,0
1,1,-1.33,79,79,79,0
1,1,-1.33,79,79,79,0
1,1,-1.33,79,79,79,0
1,1,-1.34,79,79,79,0
1,1,-1.34,79,79,79,0
1,1,-1.35,79,79,79,0
1,1,-1.35,79,79,79,0
1,1,-1.35,79,79,79,0
1,1,-1.36,79,79,79,0
1,1,-1.36,79,79,79,0
1,1,-1.36,79,79,79,0
1,1,-1.37,79,79,79,0
1,1,-1.37,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.4,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.38,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.4,79,79,79,0
1,1,-1.4,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.38,79,79,79,0
1,1,-1.38,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.38,79,79,79,0
1,1,-1.38,79,79,79,0
1,1,-1.38,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.38,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.38,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.4,79,79,79,0
1,1,-1.4,79,79,79,0
1,1,-1.4,79,79,79,0
1,1,-1.4,79,79,79,0
1,1,-1.4,79,79,79,0
1,1,-1.4,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.38,79,79,79,0
1,1,-1.38,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.39,79,79,79,0
1,1,-1.38,79,79,79,0
1,1,-1.38,79,79,79,0
1,1,-1.42,79,79,79,0
1,1,-1.42,79,79,79,0
1,1,-1.42,79,79,79,0
1,1,-1.46,79,79,79,0
1,1,-1.46,79,79,79,0
1,1,-1.46,79,79,79,0
1,1,-1.46,79,79,79,0
1,1,-1.5,79,79,79,0
1,1,-1.5,79,79,79,0
1,1,-1.5,79,79,79,0
1,1,-1.51,79,79,79,0
1,1,-1.51,79,79,79,0
1,1,-1.51,79,79,79,0
1,1,-1.55,79,79,79,0
1,1,-1.55,79,79,79,0
1,1,-1.55,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
0,1,-0.06,79,79,79,0
